	time	open	high	low	close	volume
0	2017-10-31	8.7	0.0	0.0	0.0	0
1	2017-11-01	8.7	8.7	8.7	8.7	0
2	2017-11-02	8.7	8.7	8.7	8.7	0
3	2017-11-03	8.7	8.7	8.7	8.7	0
4	2017-11-06	8.7	8.7	8.7	8.7	0
5	2017-11-07	8.7	8.7	8.7	8.7	0
6	2017-11-08	8.7	8.7	8.7	8.7	0
7	2017-11-09	8.7	8.7	8.7	8.7	0
8	2017-11-10	8.7	8.7	8.7	8.7	0
9	2017-11-13	8.7	8.7	8.7	8.7	0
10	2017-11-14	8.7	8.7	8.7	8.7	0
11	2017-11-15	8.7	8.7	8.7	8.7	0
12	2017-11-16	8.7	8.7	8.7	8.7	0
13	2017-11-17	8.7	8.7	8.7	8.7	0
14	2017-11-20	8.7	8.7	8.7	8.7	0
15	2017-11-21	8.7	8.7	8.7	8.7	0
16	2017-11-22	8.7	8.7	8.7	8.7	0
17	2017-11-23	8.7	8.7	8.7	8.7	0
18	2017-11-24	8.7	8.7	8.7	8.7	0
19	2017-11-27	8.7	8.7	8.7	8.7	0
20	2017-11-28	8.7	8.7	8.7	8.7	0
21	2017-11-29	8.7	8.7	8.7	8.7	0
22	2017-11-30	8.7	8.7	8.7	8.7	0
23	2017-12-01	8.7	8.7	8.7	8.7	0
24	2017-12-04	8.7	8.7	8.7	8.7	0
25	2017-12-05	8.7	8.7	8.7	8.7	0
26	2017-12-06	8.7	8.7	8.7	8.7	0
27	2017-12-07	8.7	8.7	8.7	8.7	0
28	2017-12-08	8.7	8.7	8.7	8.7	0
29	2017-12-11	8.7	8.7	8.7	8.7	0
30	2017-12-12	8.7	8.7	8.7	8.7	0
31	2017-12-13	8.7	8.7	8.7	8.7	0
32	2017-12-14	8.7	8.7	8.7	8.7	0
33	2017-12-15	8.7	8.7	8.7	8.7	0
34	2017-12-18	8.7	8.7	8.7	8.7	0
35	2017-12-19	8.7	8.7	8.7	8.7	0
36	2017-12-20	8.7	8.7	8.7	8.7	0
37	2017-12-21	8.7	8.7	8.7	8.7	0
